,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SiteEnergyUseWN(kBtu),GHGEmissions(MetricTonsCO2e),ENERGYSTARScore
5159,Multifamily MR (5-9),Mid-Rise Multifamily,7,Downtown,2003,1.0,7.0,39962,0,39962,Multifamily Housing,39962.0,0.0,0.0,1631879.0,41.04,75.0
5160,NonResidential,Mixed Use Property,7,Downtown,1913,1.0,3.0,43878,0,43878,Multifamily Housing,12000.0,8262.0,6312.0,735897.0,5.16,
5161,NonResidential,Other,7,Magnolia / queen anne,1912,1.0,3.0,34976,0,34976,Performing Arts,34976.0,0.0,0.0,801264.0,11.39,
5162,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1947,1.0,3.0,22604,0,22604,Multifamily Housing,22604.0,0.0,0.0,1772951.0,66.37,41.0
5163,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1909,1.0,4.0,46296,0,46296,Multifamily Housing,46296.0,0.0,0.0,3162526.0,120.84,48.0
5164,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1929,1.0,3.0,36282,4882,31400,Multifamily Housing,31400.0,4882.0,0.0,1125034.0,26.9,94.0
5165,Multifamily MR (5-9),Mid-Rise Multifamily,7,Magnolia / queen anne,1970,1.0,9.0,54820,10273,44547,Multifamily Housing,44547.0,10273.0,0.0,2479472.0,39.56,19.0
5166,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1930,1.0,3.0,31552,2988,28564,Multifamily Housing,31552.0,0.0,0.0,1944106.0,71.01,86.0
5167,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1925,1.0,3.0,29533,0,29533,Multifamily Housing,29533.0,0.0,0.0,1513013.0,56.68,96.0
5168,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1930,1.0,3.0,20688,0,20688,Multifamily Housing,20688.0,0.0,0.0,1771952.0,70.23,28.0
5169,Multifamily LR (1-4),Low-Rise Multifamily,7,Downtown,1946,1.0,3.0,22972,0,22972,Multifamily Housing,22972.0,0.0,0.0,1700473.0,65.08,46.0
5170,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1985,1.0,4.0,49034,3540,45494,Multifamily Housing,45494.0,3540.0,0.0,1505508.0,9.51,57.0
5171,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1962,1.0,4.0,33164,6156,27008,Multifamily Housing,27008.0,6156.0,0.0,617360.0,4.1,93.0
5172,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1907,1.0,4.0,38407,0,38407,Multifamily Housing,38407.0,0.0,0.0,1385870.0,8.37,59.0
5173,Multifamily MR (5-9),Mid-Rise Multifamily,7,Magnolia / queen anne,1955,1.0,6.0,88422,13336,75086,Multifamily Housing,75086.0,0.0,0.0,5101383.0,176.88,87.0
5174,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1907,1.0,4.0,34498,0,34498,Multifamily Housing,34498.0,0.0,0.0,1123577.0,41.57,100.0
5175,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1985,1.0,4.0,56074,0,56074,Multifamily Housing,56074.0,0.0,0.0,1686439.0,10.84,72.0
5176,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1981,1.0,4.0,43132,0,43132,Multifamily Housing,43132.0,0.0,0.0,1215144.0,7.81,61.0
5177,Multifamily MR (5-9),Mid-Rise Multifamily,5,North,1968,1.0,5.0,25671,0,25671,Multifamily Housing,25671.0,0.0,0.0,723561.0,4.65,93.0
5178,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1993,1.0,4.0,31379,5829,25550,Multifamily Housing,31379.0,5829.0,0.0,912748.0,5.88,73.0
5180,Multifamily MR (5-9),Mid-Rise Multifamily,5,North,2003,1.0,6.0,119355,46370,72985,Multifamily Housing,72985.0,0.0,0.0,2165211.0,14.1,73.0
5181,NonResidential,Non-Refrigerated Warehouse,7,Magnolia / queen anne,1957,1.0,1.0,38255,0,38255,Non-Refrigerated Warehouse,38255.0,0.0,0.0,1147076.0,29.92,13.0
5182,Campus,Other,7,Magnolia / queen anne,1955,1.0,1.0,260241,0,260241,Other,260241.0,0.0,0.0,35823228.0,553.99,
5183,Multifamily LR (1-4),Low-Rise Multifamily,4,Northeast,1970,1.0,4.0,144779,0,144779,Multifamily Housing,144779.0,0.0,0.0,4122464.0,26.85,65.0
5184,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,1967,1.0,3.0,20210,0,20210,Multifamily Housing,20000.0,700.0,0.0,581979.0,10.43,88.0
5185,Multifamily LR (1-4),Low-Rise Multifamily,2,Southeast,1956,2.0,2.0,21708,0,21708,Multifamily Housing,21708.0,0.0,0.0,1577240.0,51.39,59.0
5186,Multifamily LR (1-4),Low-Rise Multifamily,2,Southeast,2006,1.0,2.0,55842,0,55842,Multifamily Housing,42762.0,13080.0,0.0,1429141.0,9.28,36.0
5187,Multifamily HR (10+),High-Rise Multifamily,3,East,1970,1.0,12.0,97160,15303,81857,Multifamily Housing,108000.0,12000.0,0.0,4642519.0,27.26,29.0
5188,Multifamily LR (1-4),Low-Rise Multifamily,3,Central,1929,1.0,4.0,23875,0,23875,Multifamily Housing,23875.0,0.0,0.0,1431479.0,46.93,51.0
5189,Multifamily LR (1-4),Low-Rise Multifamily,6,Ballard,1999,1.0,4.0,28467,0,28467,Multifamily Housing,21804.0,3032.0,0.0,465339.0,3.04,
5190,NonResidential,Small- and Mid-Sized Office,6,Lake union,1989,1.0,3.0,48924,0,48924,Office,31325.0,13143.0,0.0,2156584.0,49.63,77.0
5191,Multifamily MR (5-9),Mid-Rise Multifamily,7,Magnolia / queen anne,2001,1.0,6.0,22551,0,22551,Multifamily Housing,21642.0,4200.0,909.0,950423.0,10.54,
5192,Multifamily LR (1-4),Low-Rise Multifamily,4,Lake union,1989,1.0,2.0,21643,0,21643,Multifamily Housing,21643.0,0.0,0.0,1138862.0,39.48,
5193,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1994,1.0,4.0,26964,4304,22660,Multifamily Housing,22664.0,0.0,0.0,642321.0,12.05,90.0
5194,Multifamily MR (5-9),Mid-Rise Multifamily,7,Downtown,1998,1.0,8.0,139301,0,139301,Multifamily Housing,94506.0,1448.0,1066.0,3517197.0,29.56,
5195,NonResidential,Small- and Mid-Sized Office,4,Lake union,1959,1.0,4.0,50333,18036,32297,Office,50333.0,0.0,0.0,1743543.0,10.3,91.0
5196,NonResidential,Small- and Mid-Sized Office,4,Lake union,1986,1.0,4.0,57432,21906,35526,Office,34160.0,19650.0,0.0,2700903.0,17.42,
5197,NonResidential,Small- and Mid-Sized Office,4,Lake union,1969,1.0,3.0,25912,7956,17956,Office,17332.0,9162.0,0.0,675680.0,4.29,
5198,NonResidential,Small- and Mid-Sized Office,4,Lake union,2000,1.0,3.0,57132,21908,35224,Office,33705.0,21908.0,0.0,2286622.0,15.94,61.0
5199,Multifamily MR (5-9),Mid-Rise Multifamily,1,Delridge,1968,1.0,6.0,49510,0,49510,Multifamily Housing,49510.0,0.0,0.0,3038937.0,43.15,3.0
5200,Multifamily LR (1-4),Low-Rise Multifamily,1,Delridge,1977,1.0,3.0,23664,0,23664,Multifamily Housing,23664.0,0.0,0.0,1111734.0,6.86,10.0
5201,Multifamily LR (1-4),Low-Rise Multifamily,1,Delridge,2006,1.0,3.0,42169,800,41369,Multifamily Housing,36628.0,0.0,0.0,1202918.0,7.82,49.0
5202,Multifamily LR (1-4),Low-Rise Multifamily,1,Delridge,2006,1.0,4.0,56334,0,56334,Multifamily Housing,56934.0,0.0,0.0,2034626.0,43.35,80.0
5203,Multifamily LR (1-4),Senior Care Community,1,Delridge,2008,1.0,3.0,144682,0,144682,Senior Care Community,120513.0,24169.0,0.0,5573246.0,112.52,95.0
5204,NonResidential,Worship Facility,1,Delridge,1957,1.0,2.0,24224,0,24224,Worship Facility,24224.0,0.0,0.0,1201212.0,27.76,41.0
5205,NonResidential,Worship Facility,1,Delridge,1963,1.0,1.0,23706,0,23706,Worship Facility,23706.0,0.0,0.0,479695.0,12.5,77.0
5206,Multifamily MR (5-9),Mid-Rise Multifamily,7,Magnolia / queen anne,1963,1.0,5.0,27288,0,27288,Multifamily Housing,27288.0,0.0,0.0,1441491.0,48.21,80.0
5207,NonResidential,Non-Refrigerated Warehouse,2,Greater duwamish,1963,1.0,1.0,31900,0,31900,Non-Refrigerated Warehouse,28000.0,4000.0,0.0,1090032.0,7.6,
5208,NonResidential,Other,1,Southwest,1917,1.0,1.0,49066,0,49066,Social/Meeting Hall,49000.0,0.0,0.0,4934802.0,176.47,
5209,NonResidential,Worship Facility,1,Southwest,1952,1.0,3.0,30740,0,30740,Worship Facility,28293.0,11630.0,0.0,1855173.0,55.7,
5210,Multifamily LR (1-4),Low-Rise Multifamily,2,Southeast,1962,1.0,4.0,21540,0,21540,Multifamily Housing,21540.0,0.0,0.0,769676.0,5.37,74.0
5212,NonResidential,Supermarket/Grocery Store,2,Southeast,1959,1.0,1.0,67450,0,67450,Supermarket/Grocery Store,42760.0,0.0,0.0,11266246.0,256.84,1.0
5213,SPS-District K-12,K-12 School,6,Ballard,1958,1.0,1.0,39971,0,39971,K-12 School,40271.0,0.0,0.0,1927090.0,52.88,94.0
5214,Multifamily MR (5-9),Mid-Rise Multifamily,7,Magnolia / queen anne,2006,1.0,6.0,67796,11761,56035,Multifamily Housing,39469.0,23160.0,0.0,2573335.0,49.93,82.0
5216,NonResidential,Non-Refrigerated Warehouse,7,Magnolia / queen anne,1948,1.0,1.0,46970,0,46970,Non-Refrigerated Warehouse,46970.0,0.0,0.0,11441.0,0.08,
5217,NonResidential,Non-Refrigerated Warehouse,7,Magnolia / queen anne,1931,1.0,1.0,47554,0,47554,Non-Refrigerated Warehouse,18133.0,8679.0,2388.0,1003381.0,15.08,
5218,NonResidential,Small- and Mid-Sized Office,7,Magnolia / queen anne,1979,1.0,2.0,43016,5400,37616,Office,43016.0,0.0,0.0,1453424.0,55.15,100.0
5219,NonResidential,Mixed Use Property,7,Magnolia / queen anne,1931,1.0,1.0,24196,0,24196,Other,8711.0,6792.0,5306.0,1217540.0,22.94,
5220,NonResidential,Small- and Mid-Sized Office,7,Magnolia / queen anne,1940,1.0,2.0,20671,0,20671,Office,20671.0,0.0,0.0,812340.0,24.53,99.0
5221,Multifamily LR (1-4),Low-Rise Multifamily,3,Central,1985,1.0,2.0,24150,0,24150,Multifamily Housing,20125.0,0.0,0.0,820098.0,4.86,28.0
5222,NonResidential,Non-Refrigerated Warehouse,2,Greater duwamish,1927,1.0,1.0,21600,0,21600,Non-Refrigerated Warehouse,21600.0,0.0,0.0,658094.0,15.74,55.0
5223,Multifamily MR (5-9),Mid-Rise Multifamily,3,East,1999,1.0,5.0,30418,0,30418,Multifamily Housing,21474.0,0.0,0.0,536200.0,3.62,
5224,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,2000,1.0,4.0,21754,0,21754,Multifamily Housing,19189.0,2565.0,0.0,1269133.0,40.04,
5225,Multifamily LR (1-4),Low-Rise Multifamily,6,Ballard,1997,1.0,3.0,29378,0,29378,Multifamily Housing,24589.0,0.0,0.0,1003660.0,18.99,27.0
5226,NonResidential,Worship Facility,1,Southwest,1977,1.0,1.0,35844,0,35844,Worship Facility,35844.0,0.0,0.0,1162519.0,8.1,4.0
5227,NonResidential,Small- and Mid-Sized Office,4,Lake union,1916,1.0,3.0,31774,0,31774,Office,19896.0,13941.0,0.0,1759806.0,20.75,83.0
5228,Multifamily LR (1-4),Low-Rise Multifamily,4,Lake union,2006,1.0,4.0,106218,26854,79364,Multifamily Housing,67842.0,0.0,0.0,3041267.0,73.65,83.0
5229,Multifamily MR (5-9),Mid-Rise Multifamily,4,Lake union,1997,1.0,5.0,217146,57639,159507,Multifamily Housing,154063.0,57639.0,5444.0,7983964.0,150.81,35.0
5230,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1979,1.0,2.0,33852,0,33852,Multifamily Housing,33852.0,512.0,0.0,953807.0,5.9,85.0
5231,Multifamily LR (1-4),Low-Rise Multifamily,6,Ballard,1976,1.0,3.0,20599,3085,17514,Multifamily Housing,17514.0,3085.0,0.0,524270.0,3.4,
5232,Multifamily HR (10+),High-Rise Multifamily,3,East,1965,1.0,11.0,66150,11290,54860,Multifamily Housing,66150.0,0.0,0.0,2725121.0,16.89,25.0
5233,Multifamily LR (1-4),Low-Rise Multifamily,3,East,1926,1.0,3.0,29896,4389,25507,Multifamily Housing,25507.0,0.0,0.0,892121.0,5.6,26.0
5234,Multifamily LR (1-4),Low-Rise Multifamily,3,East,1910,1.0,3.0,20022,0,20022,Multifamily Housing,20022.0,0.0,0.0,494161.0,19.34,100.0
5235,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1984,1.0,3.0,49291,0,49291,Multifamily Housing,49291.0,0.0,0.0,1186552.0,7.56,85.0
5236,Multifamily HR (10+),High-Rise Multifamily,3,Central,1972,1.0,10.0,97978,0,97978,Multifamily Housing,97978.0,0.0,0.0,3308963.0,20.79,72.0
5237,Multifamily MR (5-9),Mid-Rise Multifamily,3,Central,2008,1.0,6.0,87041,18582,68459,Multifamily Housing,60000.0,5893.0,3341.0,2063103.0,13.7,76.0
5238,Multifamily MR (5-9),Mid-Rise Multifamily,3,Central,2008,1.0,6.0,371442,149446,221996,Multifamily Housing,235146.0,157763.0,6641.0,7042517.0,256.53,100.0
5239,Multifamily LR (1-4),Low-Rise Multifamily,7,Magnolia / queen anne,1964,1.0,4.0,21608,0,21608,Multifamily Housing,21608.0,0.0,0.0,540749.0,3.34,89.0
5240,Multifamily LR (1-4),Low-Rise Multifamily,6,Ballard,1991,1.0,3.0,33733,9298,24435,Multifamily Housing,24435.0,9298.0,0.0,968505.0,22.74,90.0
5244,NonResidential,Small- and Mid-Sized Office,7,Downtown,1979,2.0,3.0,34030,0,34030,Office,34030.0,0.0,0.0,1818828.0,20.95,49.0
5245,NonResidential,"Restaurant
",7,Downtown,1902,1.0,2.0,40320,0,40320,Restaurant,24514.0,15806.0,0.0,3688427.0,119.01,
5246,NonResidential,"Restaurant
",7,Downtown,1900,1.0,1.0,43728,0,43728,Restaurant,43728.0,0.0,0.0,10721568.0,549.74,
5247,NonResidential,Mixed Use Property,7,Downtown,1900,1.0,2.0,34455,0,34455,Office,34550.0,23085.0,11465.0,4700396.0,32.77,48.0
5248,NonResidential,Small- and Mid-Sized Office,7,Downtown,1900,1.0,2.0,32027,0,32027,Office,17526.0,14501.0,0.0,3158151.0,103.4,73.0
5249,NonResidential,Small- and Mid-Sized Office,7,Downtown,1906,1.0,3.0,32160,0,32160,Office,35693.0,14219.0,0.0,2655658.0,18.51,
5250,NonResidential,Other,2,Greater duwamish,1992,1.0,3.0,47836,7572,40264,Other - Lodging/Residential,43336.0,4500.0,0.0,3605154.0,102.9,
5251,NonResidential,Small- and Mid-Sized Office,2,Greater duwamish,1914,1.0,3.0,34425,0,34425,Office,34425.0,15536.0,0.0,2243113.0,49.61,86.0
5252,Multifamily MR (5-9),Mid-Rise Multifamily,3,Central,2009,1.0,7.0,142586,32108,110478,Multifamily Housing,94700.0,32565.0,4881.0,4288087.0,174.27,100.0
5253,SPS-District K-12,K-12 School,2,Greater duwamish,1971,1.0,2.0,52609,0,52609,K-12 School,52609.0,0.0,0.0,2064194.0,40.81,66.0
5254,Multifamily MR (5-9),Mid-Rise Multifamily,1,Southwest,1993,1.0,6.0,29358,0,29358,Multifamily Housing,29358.0,0.0,0.0,866748.0,16.37,
5255,Multifamily MR (5-9),Mid-Rise Multifamily,7,Lake union,1999,1.0,6.0,92841,22534,70307,Multifamily Housing,46893.0,1076.0,900.0,1844428.0,15.77,
5256,NonResidential,Medical Office,1,Southwest,1984,1.0,3.0,40304,12000,28304,Medical Office,20106.0,16412.0,0.0,1916966.0,13.36,7.0
5257,Multifamily MR (5-9),Mid-Rise Multifamily,6,Ballard,1981,1.0,5.0,82082,0,82082,Multifamily Housing,62472.0,13326.0,0.0,2768949.0,23.39,13.0
5258,Multifamily LR (1-4),Low-Rise Multifamily,1,Southwest,1995,1.0,4.0,33852,0,33852,Multifamily Housing,33852.0,0.0,0.0,1242964.0,37.82,90.0
5259,Multifamily HR (10+),High-Rise Multifamily,7,Downtown,1985,1.0,13.0,154889,97790,57099,Multifamily Housing,93207.0,61682.0,0.0,4872588.0,70.77,57.0
5260,Multifamily MR (5-9),Mid-Rise Multifamily,2,Southeast,2004,1.0,7.0,193946,21811,172135,Multifamily Housing,163183.0,36869.0,21811.0,8804885.0,203.73,86.0
5261,NonResidential,"Distribution Center
",1,Greater duwamish,1990,1.0,1.0,29619,0,29619,Distribution Center,15000.0,14619.0,0.0,734495.0,20.38,80.0
5262,Multifamily LR (1-4),Low-Rise Multifamily,3,Central,1968,1.0,3.0,34846,0,34846,Multifamily Housing,34846.0,0.0,0.0,1124048.0,7.1,69.0
5263,NonResidential,K-12 School,3,Central,1922,1.0,2.0,21592,0,21592,K-12 School,20700.0,0.0,0.0,1913488.0,58.77,43.0
5264,Multifamily MR (5-9),Mid-Rise Multifamily,3,Central,1980,1.0,6.0,62538,0,62538,Multifamily Housing,62780.0,0.0,0.0,2083202.0,13.14,81.0
5265,NonResidential,Small- and Mid-Sized Office,3,Central,1907,1.0,3.0,25200,0,25200,Office,16000.0,8000.0,0.0,1762640.0,33.34,50.0
5266,NonResidential,Small- and Mid-Sized Office,3,Central,1963,1.0,2.0,28296,0,28296,Office,26899.0,0.0,0.0,1430332.0,10.38,73.0
5267,Multifamily MR (5-9),Other,7,Downtown,1982,1.0,5.0,124260,81900,42360,Parking,81900.0,31924.0,4049.0,1669548.0,9.97,
5268,Multifamily MR (5-9),Mid-Rise Multifamily,3,Central,1998,1.0,6.0,71597,14616,56981,Multifamily Housing,40043.0,4480.0,0.0,1648255.0,10.64,
5269,NonResidential,Small- and Mid-Sized Office,3,Central,1999,1.0,3.0,31357,0,31357,Office,25500.0,5000.0,0.0,2102453.0,22.82,56.0
5270,NonResidential,"Distribution Center
",2,Greater duwamish,1968,1.0,1.0,160000,0,160000,Distribution Center,160000.0,0.0,0.0,1476506.0,10.29,89.0
5271,NonResidential,Non-Refrigerated Warehouse,2,Greater duwamish,1960,1.0,1.0,53550,0,53550,Non-Refrigerated Warehouse,53550.0,0.0,0.0,4743273.0,141.32,15.0
5272,NonResidential,Non-Refrigerated Warehouse,2,Greater duwamish,1924,1.0,1.0,38412,0,38412,Non-Refrigerated Warehouse,32000.0,8000.0,0.0,2210913.0,67.27,47.0
5273,NonResidential,"Self-Storage Facility
",2,Greater duwamish,1930,1.0,1.0,25881,0,25881,Self-Storage Facility,25881.0,0.0,0.0,537141.0,3.74,
5274,Multifamily MR (5-9),Mid-Rise Multifamily,4,Northeast,1979,1.0,5.0,91560,0,91560,Multifamily Housing,91560.0,0.0,0.0,2810977.0,17.49,76.0
5275,Multifamily MR (5-9),Mid-Rise Multifamily,3,Central,2001,1.0,5.0,23286,0,23286,Multifamily Housing,21050.0,2236.0,0.0,883629.0,6.16,
5276,Multifamily LR (1-4),Low-Rise Multifamily,5,Northwest,1989,1.0,4.0,37456,0,37456,Multifamily Housing,37456.0,0.0,0.0,955638.0,5.97,88.0
5277,Multifamily MR (5-9),Mid-Rise Multifamily,3,East,1963,1.0,8.0,50784,0,50784,Multifamily Housing,50784.0,0.0,0.0,1853302.0,23.65,51.0
5278,Multifamily HR (10+),High-Rise Multifamily,3,East,1960,1.0,10.0,38220,0,38220,Multifamily Housing,38220.0,0.0,0.0,3569873.0,128.69,55.0
5279,Multifamily LR (1-4),Low-Rise Multifamily,3,Central,1981,1.0,4.0,35251,0,35251,Multifamily Housing,35254.0,0.0,0.0,880942.0,5.42,51.0
5280,NonResidential,Non-Refrigerated Warehouse,2,Greater duwamish,1966,1.0,1.0,36544,0,36544,Non-Refrigerated Warehouse,36544.0,0.0,0.0,1434747.0,9.09,4.0
5281,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1999,1.0,4.0,35456,0,35456,Multifamily Housing,35456.0,0.0,0.0,1052734.0,20.29,85.0
5282,NonResidential,K-12 School,5,North,1931,1.0,2.0,23923,0,23923,K-12 School,23923.0,0.0,0.0,1083713.0,26.33,72.0
5283,NonResidential,Non-Refrigerated Warehouse,2,Greater duwamish,1949,1.0,1.0,20796,0,20796,Non-Refrigerated Warehouse,20796.0,0.0,0.0,1004779.0,34.66,
5284,NonResidential,"Distribution Center
",2,Greater duwamish,1947,1.0,1.0,21349,0,21349,Distribution Center,13000.0,8349.0,0.0,788925.0,17.53,65.0
5285,NonResidential,Non-Refrigerated Warehouse,2,Greater duwamish,1936,1.0,1.0,38630,0,38630,Non-Refrigerated Warehouse,38500.0,0.0,0.0,422133.0,2.94,31.0
5286,NonResidential,Other,2,Greater duwamish,1960,1.0,1.0,24109,0,24109,Manufacturing/Industrial Plant,24109.0,0.0,0.0,4629155.0,32.89,
5287,NonResidential,Refrigerated Warehouse,2,Greater duwamish,1955,1.0,1.0,25375,0,25375,Refrigerated Warehouse,23419.0,2266.0,0.0,3814590.0,26.59,
5288,Nonresidential COS,Non-Refrigerated Warehouse,2,Greater duwamish,1985,1.0,1.0,22803,0,22803,Non-Refrigerated Warehouse,19373.0,3430.0,0.0,609376.0,14.6,81.0
5289,Nonresidential COS,Mixed Use Property,2,Greater duwamish,1985,1.0,1.0,23100,0,23100,Office,11550.0,11550.0,0.0,4836243.0,152.36,
5290,NonResidential,Refrigerated Warehouse,2,Greater duwamish,1951,1.0,1.0,41550,0,41550,Refrigerated Warehouse,41550.0,0.0,0.0,448676.0,3.13,99.0
5291,NonResidential,Other,1,Greater duwamish,1994,1.0,2.0,54170,0,54170,Other,54170.0,0.0,0.0,5658884.0,159.89,
5292,SPS-District K-12,K-12 School,1,Greater duwamish,2000,1.0,2.0,64493,0,64493,K-12 School,64493.0,0.0,0.0,2438280.0,37.56,81.0
5293,NonResidential,K-12 School,2,Southeast,1912,1.0,2.0,42252,0,42252,K-12 School,42252.0,0.0,0.0,3019187.0,107.15,44.0
5294,NonResidential,"Self-Storage Facility
",2,Greater duwamish,1955,1.0,1.0,23100,0,23100,Self-Storage Facility,23250.0,0.0,0.0,1200178.0,28.82,
5295,NonResidential,Worship Facility,2,Southeast,1981,1.0,3.0,22895,0,22895,Worship Facility,22895.0,0.0,0.0,393493.0,11.81,98.0
5296,NonResidential,Retail Store,2,Greater duwamish,2002,1.0,2.0,54211,17471,36740,Retail Store,30000.0,5000.0,4000.0,1147582.0,8.0,100.0
5297,Multifamily LR (1-4),Low-Rise Multifamily,2,Southeast,1921,1.0,3.0,22170,0,22170,Multifamily Housing,15000.0,7200.0,0.0,852770.0,9.06,
5298,Multifamily LR (1-4),Low-Rise Multifamily,2,Southeast,1962,1.0,4.0,21640,0,21640,Multifamily Housing,21640.0,0.0,0.0,641106.0,4.13,89.0
5299,Multifamily LR (1-4),Low-Rise Multifamily,2,Southeast,2010,1.0,4.0,88043,21744,66299,Multifamily Housing,66286.0,21744.0,0.0,2766556.0,61.72,84.0
5301,Multifamily MR (5-9),Mid-Rise Multifamily,2,Southeast,2005,1.0,7.0,289471,81556,207915,Multifamily Housing,175880.0,89425.0,13528.0,9806639.0,313.83,78.0
5302,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,1983,1.0,4.0,35577,7010,28567,Multifamily Housing,28567.0,7010.0,0.0,1223076.0,7.77,24.0
5303,Multifamily LR (1-4),Low-Rise Multifamily,6,Northwest,2009,1.0,4.0,41474,14084,27390,Multifamily Housing,19386.0,3900.0,0.0,824516.0,5.75,
5304,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1970,1.0,3.0,22045,1869,20176,Multifamily Housing,22000.0,1279.0,0.0,661595.0,4.26,60.0
5305,Multifamily LR (1-4),Low-Rise Multifamily,5,Northeast,1990,1.0,4.0,37091,11395,25696,Multifamily Housing,37091.0,0.0,0.0,898130.0,5.64,85.0
5306,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1994,1.0,3.0,65694,3254,62440,Multifamily Housing,53074.0,0.0,0.0,1799359.0,11.82,43.0
5307,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1990,1.0,3.0,30110,4098,26012,Multifamily Housing,26012.0,4098.0,0.0,543125.0,3.47,97.0
5308,NonResidential,"Self-Storage Facility
",5,Northeast,2006,1.0,6.0,48179,7132,41047,Self-Storage Facility,48179.0,0.0,0.0,727936.0,10.8,
5309,Multifamily LR (1-4),Low-Rise Multifamily,5,Northeast,1970,1.0,4.0,25300,0,25300,Multifamily Housing,25300.0,0.0,0.0,715914.0,4.55,74.0
5310,Multifamily LR (1-4),Low-Rise Multifamily,5,North,1993,1.0,4.0,26390,7860,18530,Multifamily Housing,14502.0,0.0,0.0,819563.0,5.47,
5311,NonResidential,Non-Refrigerated Warehouse,2,Greater duwamish,1937,1.0,1.0,52325,0,52325,Non-Refrigerated Warehouse,52325.0,0.0,0.0,818336.0,17.64,67.0
5312,NonResidential,Other,2,Greater duwamish,1920,1.0,4.0,20600,0,20600,"Repair Services (Vehicle, Shoe, Locksmith, etc)",20600.0,0.0,0.0,359971.0,10.14,
5314,NonResidential,Retail Store,2,Greater duwamish,1944,1.0,1.0,25880,0,25880,Retail Store,25880.0,0.0,0.0,312563.0,2.18,99.0
5315,NonResidential,Non-Refrigerated Warehouse,2,Greater duwamish,1960,1.0,1.0,45842,0,45842,Non-Refrigerated Warehouse,49802.0,22198.0,0.0,787426.0,10.97,98.0
5316,NonResidential,Other,2,Greater duwamish,1972,1.0,1.0,31365,0,31365,Other,31365.0,0.0,0.0,640838.0,4.74,
5317,NonResidential,Other,2,Greater duwamish,1910,1.0,1.0,32100,0,32100,Other,32100.0,0.0,0.0,560902.0,16.44,
5318,NonResidential,Non-Refrigerated Warehouse,2,Greater duwamish,1966,1.0,1.0,20520,0,20520,Non-Refrigerated Warehouse,15400.0,5120.0,0.0,610711.0,22.89,70.0
5319,NonResidential,Non-Refrigerated Warehouse,2,Greater duwamish,1945,1.0,1.0,22972,0,22972,Non-Refrigerated Warehouse,22972.0,0.0,0.0,540292.0,3.31,12.0
5320,NonResidential,Non-Refrigerated Warehouse,2,Greater duwamish,1953,1.0,1.0,24990,0,24990,Non-Refrigerated Warehouse,25649.0,6728.0,0.0,591249.0,8.98,69.0
5321,NonResidential,Retail Store,2,Greater duwamish,1951,1.0,2.0,24000,0,24000,Retail Store,22740.0,4860.0,0.0,1343275.0,31.13,
5322,NonResidential,Non-Refrigerated Warehouse,2,Greater duwamish,1963,1.0,1.0,100386,0,100386,Non-Refrigerated Warehouse,50628.0,49758.0,0.0,4421146.0,95.69,
5323,NonResidential,"Distribution Center
",2,Greater duwamish,1966,1.0,1.0,24354,0,24354,Distribution Center,18470.0,5884.0,0.0,1135402.0,27.81,2.0
5324,NonResidential,"Distribution Center
",2,Greater duwamish,1959,1.0,1.0,33600,0,33600,Distribution Center,24000.0,9600.0,0.0,824483.0,14.87,58.0
5325,NonResidential,Other,2,Greater duwamish,1974,1.0,1.0,20819,0,20819,Manufacturing/Industrial Plant,20819.0,0.0,0.0,2052896.0,54.93,2.0
5326,NonResidential,Non-Refrigerated Warehouse,2,Greater duwamish,1967,1.0,1.0,23296,0,23296,Non-Refrigerated Warehouse,19471.0,3825.0,0.0,1649396.0,37.36,
